category,city,urgency,desc_len,n_photos,budget_min,budget_max,artisan_rating,artisan_score,artisan_exp,distance_km,same_city,accepted_price
Plomberie,Marrakech,normal,116,0,105,1170,4.6,0.688,2,214.34,0,820
Déménagement,Marrakech,urgent,166,4,210,2860,4.9,0.851,17,194.79,0,1626
Menuiserie,Agadir,très urgent,163,2,210,2860,4.2,0.661,18,204.59,0,1946
Déménagement,Rabat,normal,160,4,210,2860,3.5,0.71,20,180.46,0,1171
Nettoyage,Fès,normal,186,2,70,780,3.4,0.55,4,242.71,0,153
Jardinage,Fès,urgent,336,4,105,1170,3.7,0.884,18,15.31,1,366
Électricité,Oujda,normal,320,1,140,1820,3.0,0.745,18,342.16,0,1340
Menuiserie,Fès,normal,147,1,210,2860,3.4,0.835,15,64.23,0,1090
Serrurerie,Meknès,normal,335,5,70,910,5.0,0.899,13,17.55,1,224
Peinture,Tanger,normal,291,0,140,2080,5.0,0.877,23,687.48,0,1513
Serrurerie,Fès,normal,198,5,70,910,5.0,0.832,3,593.45,0,120
Électricité,Rabat,très urgent,174,0,140,1820,4.0,0.599,3,492.64,0,1567
Peinture,Oujda,normal,317,1,140,2080,4.2,0.728,18,348.54,0,1334
Serrurerie,Meknès,urgent,300,1,70,910,4.8,0.925,13,525.78,0,775
Électricité,Oujda,urgent,344,0,140,1820,4.2,0.859,10,4.96,1,619
Informatique,Tanger,normal,316,1,70,1170,4.3,0.853,8,501.9,0,105
Déménagement,Tanger,urgent,214,2,210,2860,4.0,0.859,19,228.92,0,2246
Informatique,Rabat,normal,338,1,70,1170,4.6,0.738,15,468.46,0,760
Jardinage,Tanger,normal,165,5,105,1170,4.6,0.847,24,499.28,0,716
Carrelage,Oujda,normal,55,0,175,2600,4.8,0.873,6,339.33,0,1089
Plomberie,Oujda,normal,270,1,105,1170,4.6,0.688,2,867.36,0,209
Jardinage,Fès,normal,76,1,105,1170,4.0,0.571,1,295.53,0,705
Carrelage,Casablanca,normal,317,5,175,2600,3.9,0.816,20,245.61,0,1426
Serrurerie,Tanger,normal,74,4,70,910,5.0,0.832,3,694.71,0,400
Déménagement,Agadir,normal,75,4,210,2860,4.0,0.859,19,480.06,0,714
Nettoyage,Meknès,normal,181,1,70,780,4.0,0.586,9,328.09,0,231
Maçonnerie,Tanger,normal,237,2,280,4550,4.2,0.668,4,226.71,0,2234
Maçonnerie,Meknès,urgent,182,3,280,4550,4.1,0.71,8,126.52,0,1868
Menuiserie,Marrakech,normal,47,4,210,2860,4.3,0.779,15,7.82,1,1310
Informatique,Agadir,urgent,149,0,70,1170,3.8,0.756,3,469.44,0,1088
Électricité,Casablanca,urgent,257,5,140,1820,4.3,0.763,13,244.44,0,1081
Déménagement,Tanger,très urgent,167,5,210,2860,4.1,0.841,14,506.96,0,803
Menuiserie,Fès,urgent,319,2,210,2860,5.0,0.855,5,213.68,0,2085
Informatique,Casablanca,normal,123,2,70,1170,4.6,0.738,15,377.37,0,702
Jardinage,Tanger,très urgent,282,0,105,1170,3.1,0.851,18,281.27,0,496
Électricité,Casablanca,très urgent,348,1,140,1820,3.0,0.745,18,205.91,0,552
Peinture,Tanger,normal,53,4,140,2080,4.2,0.799,8,267.83,0,1311
Climatisation,Rabat,normal,345,4,350,4160,2.8,0.714,4,497.22,0,1497
Climatisation,Tanger,normal,60,3,350,4160,4.6,0.629,5,3.13,1,3138
Serrurerie,Meknès,normal,67,4,70,910,3.7,0.869,17,36.41,0,145
Informatique,Marrakech,urgent,94,5,70,1170,4.6,0.853,23,381.36,0,708
Peinture,Tanger,normal,264,3,140,2080,4.5,0.74,9,4.4,1,216
Électricité,Oujda,normal,125,5,140,1820,4.1,0.755,2,539.28,0,830
Nettoyage,Meknès,normal,89,0,70,780,4.1,0.724,3,348.89,0,415
Peinture,Tanger,normal,318,4,140,2080,4.5,0.74,9,13.95,1,1358
Maçonnerie,Meknès,urgent,341,5,280,4550,4.5,0.808,23,200.41,0,3718
Nettoyage,Oujda,normal,252,0,70,780,5.0,0.825,16,538.38,0,374
Carrelage,Rabat,normal,267,5,175,2600,3.9,0.816,20,152.95,0,1031
Nettoyage,Casablanca,urgent,151,3,70,780,5.0,0.825,16,6.93,1,193
Électricité,Fès,normal,57,1,140,1820,4.3,0.765,12,284.61,0,668
Informatique,Casablanca,très urgent,171,5,70,1170,3.9,0.658,1,11.58,1,1053
Carrelage,Fès,normal,129,0,175,2600,3.4,0.56,10,46.69,0,1105
Plomberie,Meknès,urgent,59,2,105,1170,4.2,0.738,22,14.22,1,657
Climatisation,Rabat,urgent,111,4,350,4160,4.5,0.796,25,486.94,0,3841
Peinture,Marrakech,urgent,64,4,140,2080,3.8,0.744,6,286.51,0,416
Électricité,Meknès,normal,315,2,140,1820,4.9,0.827,7,126.59,0,283
Maçonnerie,Meknès,normal,231,2,280,4550,4.4,0.67,3,9.68,1,1443
Climatisation,Casablanca,très urgent,186,4,350,4160,3.9,0.688,4,222.52,0,4189
Plomberie,Agadir,normal,96,1,105,1170,3.8,0.862,13,540.86,0,452
Peinture,Marrakech,très urgent,205,5,140,2080,3.4,0.548,7,323.54,0,929
Climatisation,Casablanca,très urgent,346,0,350,4160,4.0,0.839,16,287.27,0,2741
Peinture,Rabat,normal,142,1,140,2080,4.7,0.853,17,217.55,0,776
Menuiserie,Tanger,normal,155,2,210,2860,4.0,0.781,20,297.73,0,458
Déménagement,Agadir,normal,167,5,210,2860,4.5,0.822,3,846.92,0,1038
Serrurerie,Tanger,normal,227,5,70,910,3.6,0.774,15,504.09,0,541
Peinture,Fès,normal,304,5,140,2080,4.1,0.841,15,5.98,1,827
Électricité,Tanger,normal,220,4,140,1820,4.1,0.801,9,689.42,0,431
Plomberie,Agadir,normal,110,3,105,1170,4.6,0.739,24,14.81,1,368
Plomberie,Oujda,urgent,145,0,105,1170,4.0,0.712,3,337.24,0,848
Informatique,Rabat,normal,115,1,70,1170,4.5,0.57,1,478.28,0,662
Électricité,Agadir,urgent,173,5,140,1820,4.9,0.827,7,474.82,0,781
Climatisation,Oujda,urgent,113,5,350,4160,3.7,0.803,7,333.12,0,2791
Carrelage,Fès,normal,325,3,175,2600,4.7,0.81,19,384.99,0,649
Plomberie,Rabat,urgent,212,1,105,1170,3.8,0.79,9,466.49,0,520
Jardinage,Marrakech,normal,323,5,105,1170,4.2,0.797,17,296.07,0,792
Électricité,Oujda,normal,131,3,140,1820,4.3,0.765,12,16.54,1,1261
Serrurerie,Fès,urgent,324,5,70,910,3.4,0.631,13,235.57,0,255
Informatique,Marrakech,normal,248,0,70,1170,4.4,0.731,4,288.61,0,193
Nettoyage,Oujda,urgent,91,4,70,780,4.4,0.604,5,844.06,0,226
Jardinage,Rabat,urgent,313,1,105,1170,4.1,0.893,25,468.03,0,834
Informatique,Rabat,urgent,252,5,70,1170,4.4,0.731,4,5.32,1,614
Carrelage,Oujda,normal,140,5,175,2600,3.5,0.555,5,529.58,0,284
Électricité,Agadir,normal,319,1,140,1820,5.0,0.876,25,19.46,1,1029
Serrurerie,Fès,très urgent,138,2,70,910,4.7,0.767,2,167.82,0,964
Jardinage,Marrakech,normal,169,3,105,1170,4.6,0.847,24,12.72,1,391
Jardinage,Tanger,normal,92,5,105,1170,4.3,0.898,25,685.78,0,825
Maçonnerie,Meknès,normal,176,5,280,4550,3.7,0.736,15,342.67,0,1896
Électricité,Tanger,normal,193,2,140,1820,3.8,0.647,25,294.96,0,954
Serrurerie,Agadir,très urgent,205,2,70,910,4.9,0.82,17,599.47,0,248
Informatique,Meknès,normal,310,3,70,1170,3.5,0.781,20,6.01,1,100
Plomberie,Agadir,urgent,66,4,105,1170,3.0,0.623,20,680.04,0,933
Électricité,Fès,normal,250,4,140,1820,4.4,0.892,25,209.77,0,1359
Jardinage,Marrakech,urgent,148,0,105,1170,3.9,0.786,20,296.66,0,854
Climatisation,Casablanca,normal,301,4,350,4160,3.3,0.729,9,207.95,0,1943
Plomberie,Fès,urgent,208,3,105,1170,4.0,0.838,17,235.45,0,842
Peinture,Oujda,normal,317,3,140,2080,3.4,0.548,7,338.41,0,1091
Serrurerie,Agadir,très urgent,75,3,70,910,3.5,0.78,16,538.43,0,862
Déménagement,Meknès,normal,86,5,210,2860,3.5,0.71,20,50.98,0,1725
Maçonnerie,Tanger,normal,34,1,280,4550,4.5,0.808,23,5.43,1,1059
Nettoyage,Meknès,urgent,141,4,70,780,4.5,0.823,23,527.15,0,721
Plomberie,Oujda,normal,128,2,105,1170,4.3,0.709,16,664.51,0,633
Menuiserie,Fès,normal,320,3,210,2860,4.5,0.719,7,15.03,1,1781
Climatisation,Oujda,normal,70,4,350,4160,3.7,0.803,7,339.22,0,1976
Plomberie,Marrakech,urgent,110,5,105,1170,4.3,0.777,22,350.04,0,504
Peinture,Fès,normal,184,1,140,2080,4.0,0.778,23,377.75,0,1233
Peinture,Meknès,normal,75,5,140,2080,4.2,0.728,18,19.18,1,331
Menuiserie,Agadir,normal,202,5,210,2860,4.5,0.77,19,207.21,0,573
Maçonnerie,Marrakech,normal,92,5,280,4550,4.3,0.737,19,279.91,0,2192
Maçonnerie,Casablanca,très urgent,327,4,280,4550,3.6,0.703,2,177.81,0,857
Peinture,Fès,normal,327,5,140,2080,3.7,0.597,4,290.19,0,533
Climatisation,Fès,normal,241,2,350,4160,4.1,0.541,3,286.92,0,916
Climatisation,Oujda,normal,337,1,350,4160,2.8,0.714,4,856.9,0,3120
Maçonnerie,Oujda,urgent,203,4,280,4550,4.1,0.702,21,291.97,0,1797
Plomberie,Tanger,normal,160,4,105,1170,4.9,0.988,23,206.45,0,405
Jardinage,Casablanca,urgent,242,5,105,1170,3.9,0.786,20,97.18,0,1062
Jardinage,Agadir,très urgent,336,1,105,1170,3.2,0.528,8,460.55,0,747
Serrurerie,Agadir,normal,40,2,70,910,4.6,0.711,3,197.02,0,484
Serrurerie,Tanger,urgent,225,1,70,910,3.8,0.766,1,220.59,0,325
Peinture,Agadir,urgent,186,4,140,2080,4.1,0.841,15,581.51,0,1438
Plomberie,Agadir,normal,221,4,105,1170,4.3,0.921,21,20.73,1,470
Climatisation,Oujda,très urgent,233,3,350,4160,3.3,0.79,14,549.39,0,3368
Maçonnerie,Agadir,normal,117,1,280,4550,4.3,0.737,19,466.08,0,2113
Serrurerie,Tanger,urgent,44,5,70,910,3.9,0.741,1,210.19,0,731
Climatisation,Meknès,urgent,108,5,350,4160,3.8,0.634,16,5.32,1,3754
Plomberie,Meknès,normal,293,0,105,1170,4.3,0.777,22,13.11,1,359
Électricité,Marrakech,normal,169,4,140,1820,4.1,0.801,9,219.72,0,331
Électricité,Fès,urgent,69,2,140,1820,5.0,0.876,25,579.06,0,1352
Serrurerie,Meknès,normal,34,0,70,910,5.0,0.832,3,556.72,0,368
Nettoyage,Casablanca,urgent,30,0,70,780,4.7,0.822,6,396.61,0,634
Climatisation,Oujda,normal,228,5,350,4160,3.9,0.781,18,298.15,0,986
Serrurerie,Fès,normal,102,5,70,910,3.6,0.774,15,379.2,0,297
Jardinage,Rabat,normal,238,4,105,1170,4.5,0.788,1,1.48,1,857
Plomberie,Oujda,normal,264,3,105,1170,4.0,0.712,3,345.63,0,361
Déménagement,Meknès,normal,277,3,210,2860,3.2,0.568,4,19.9,1,1600
Climatisation,Meknès,normal,312,2,350,4160,3.8,0.687,9,333.78,0,1277
Climatisation,Fès,urgent,80,5,350,4160,2.8,0.714,4,584.24,0,1390
Informatique,Rabat,très urgent,40,3,70,1170,4.4,0.731,4,7.54,1,349
Plomberie,Meknès,urgent,115,0,105,1170,4.9,0.76,3,192.8,0,440
Électricité,Fès,normal,265,4,140,1820,4.2,0.859,10,300.34,0,1386
Climatisation,Marrakech,urgent,121,5,350,4160,3.7,0.803,7,351.99,0,2225
Carrelage,Meknès,urgent,211,4,175,2600,4.3,0.818,8,220.97,0,1148
Déménagement,Fès,normal,252,5,210,2860,4.9,0.851,17,575.22,0,579
Déménagement,Casablanca,normal,346,3,210,2860,3.6,0.674,25,530.86,0,1196
Nettoyage,Tanger,normal,171,0,70,780,4.7,0.822,6,692.44,0,533
Électricité,Meknès,normal,205,1,140,1820,4.6,0.88,24,120.87,0,1396
Plomberie,Agadir,urgent,293,3,105,1170,3.9,0.763,8,14.77,1,1042
Menuiserie,Meknès,normal,178,4,210,2860,4.2,0.661,18,329.66,0,666
Nettoyage,Agadir,normal,314,4,70,780,4.4,0.604,5,17.75,1,268
Jardinage,Tanger,normal,206,5,105,1170,4.6,0.847,24,507.97,0,756
Déménagement,Marrakech,urgent,180,3,210,2860,3.6,0.674,25,642.06,0,2340
Informatique,Rabat,normal,159,1,70,1170,3.5,0.781,20,122.62,0,380
Menuiserie,Rabat,normal,180,3,210,2860,4.8,0.768,15,173.24,0,1283
Maçonnerie,Tanger,très urgent,177,2,280,4550,4.1,0.794,17,290.36,0,1081
Informatique,Marrakech,très urgent,64,5,70,1170,3.9,0.658,1,224.29,0,1103
Carrelage,Tanger,normal,207,1,175,2600,3.4,0.836,23,492.76,0,486
Carrelage,Oujda,normal,202,0,175,2600,4.9,0.805,16,10.61,1,881
Peinture,Agadir,normal,148,3,140,2080,4.3,0.847,15,398.12,0,455
Maçonnerie,Meknès,urgent,152,5,280,4550,4.2,0.668,4,3.27,1,4335
Nettoyage,Oujda,urgent,315,0,70,780,3.4,0.55,4,535.52,0,326
Peinture,Meknès,normal,92,3,140,2080,3.4,0.548,7,5.95,1,635
Informatique,Marrakech,normal,81,4,70,1170,3.8,0.718,25,493.88,0,802
Maçonnerie,Agadir,normal,275,3,280,4550,3.6,0.686,22,410.15,0,2811
Peinture,Marrakech,normal,324,2,140,2080,4.6,0.862,12,196.64,0,899
Déménagement,Casablanca,normal,313,2,210,2860,3.7,0.609,13,205.93,0,2155
Climatisation,Tanger,normal,239,5,350,4160,4.0,0.839,16,9.24,1,1707
Peinture,Agadir,urgent,344,5,140,2080,3.8,0.692,17,858.32,0,1399
Jardinage,Tanger,urgent,94,4,105,1170,3.1,0.684,19,370.69,0,333
Plomberie,Marrakech,normal,304,0,105,1170,4.9,0.988,23,339.84,0,701
Peinture,Tanger,normal,346,5,140,2080,4.3,0.615,9,224.82,0,541
Jardinage,Oujda,normal,247,3,105,1170,3.7,0.784,15,670.3,0,793
Informatique,Rabat,normal,35,1,70,1170,3.7,0.769,13,465.73,0,585
Menuiserie,Tanger,normal,323,0,210,2860,4.3,0.783,16,207.49,0,2052
Informatique,Rabat,urgent,183,1,70,1170,4.9,0.81,4,183.07,0,1052
Déménagement,Meknès,normal,346,0,210,2860,3.7,0.609,13,14.54,1,958
Serrurerie,Rabat,normal,156,0,70,910,4.8,0.861,22,7.17,1,698
Informatique,Meknès,urgent,266,2,70,1170,4.3,0.853,8,339.17,0,1018
Menuiserie,Oujda,normal,244,1,210,2860,4.3,0.73,6,2.24,1,1597
Climatisation,Agadir,normal,333,2,350,4160,3.3,0.729,9,205.98,0,2855
Serrurerie,Oujda,urgent,340,5,70,910,3.9,0.686,18,655.39,0,302
Carrelage,Oujda,normal,130,0,175,2600,2.9,0.611,2,300.03,0,495
Serrurerie,Agadir,normal,186,1,70,910,4.8,0.925,13,3.56,1,605
Électricité,Fès,normal,47,5,140,1820,4.3,0.765,12,289.58,0,214
Peinture,Tanger,normal,68,0,140,2080,4.2,0.728,18,231.85,0,402
Menuiserie,Fès,normal,330,5,210,2860,4.6,0.724,2,292.91,0,823
Serrurerie,Rabat,normal,106,4,70,910,3.9,0.686,18,282.71,0,157
Déménagement,Casablanca,urgent,75,1,210,2860,4.1,0.828,17,87.21,0,1078
Électricité,Rabat,normal,290,3,140,1820,4.3,0.765,12,447.2,0,580
Plomberie,Agadir,urgent,238,0,105,1170,4.5,0.817,10,3.87,1,747
Jardinage,Casablanca,normal,104,1,105,1170,3.1,0.684,19,530.81,0,519
Électricité,Meknès,normal,330,2,140,1820,4.3,0.763,13,62.35,0,1394
Climatisation,Tanger,normal,239,0,350,4160,4.1,0.541,3,374.08,0,2782
Climatisation,Fès,urgent,329,4,350,4160,4.7,0.889,11,583.46,0,1058
Déménagement,Rabat,normal,76,1,210,2860,3.6,0.674,25,447.07,0,1739
Informatique,Meknès,urgent,293,5,70,1170,4.4,0.731,4,121.64,0,185
Nettoyage,Agadir,normal,148,3,70,780,3.7,0.811,25,478.7,0,392
Maçonnerie,Meknès,normal,131,2,280,4550,4.3,0.647,9,11.14,1,2488
Peinture,Oujda,normal,144,4,140,2080,4.6,0.862,12,857.24,0,1084
Menuiserie,Casablanca,normal,281,5,210,2860,3.8,0.806,23,178.1,0,2148
Plomberie,Marrakech,normal,310,4,105,1170,4.6,0.699,12,221.54,0,614
Plomberie,Rabat,urgent,150,1,105,1170,4.0,0.838,17,88.4,0,876
Serrurerie,Oujda,normal,41,4,70,910,3.7,0.869,17,299.04,0,324
Serrurerie,Rabat,normal,258,0,70,910,5.0,0.832,3,493.85,0,194
Peinture,Casablanca,urgent,172,3,140,2080,4.5,0.806,15,93.81,0,1427
Déménagement,Agadir,normal,237,3,210,2860,3.1,0.605,6,683.59,0,419
Menuiserie,Agadir,urgent,306,0,210,2860,3.4,0.636,10,460.83,0,1286
Jardinage,Agadir,urgent,102,0,105,1170,4.9,0.821,16,680.85,0,455
Plomberie,Casablanca,normal,316,1,105,1170,4.0,0.712,3,202.61,0,268
